company_name,status,size,suburb/town,state,ABN,URL
Normanville Surf Life Saving Club Inc,"
            Revoked          ","
            Information Unavailable          ","
            Information Unavailable          ","
            Information Unavailable          ",66127417263,https://www.acnc.gov.au/charity/9f4a3914a054b2a3f0af4e2f5e6dace9
North Bondi Surf Lifesavings Club Inc,"
            Registered          ","
            Large          ","
            Bondi Beach          ","
            NSW          ",77272419031,https://www.acnc.gov.au/charity/1b30b6569f5e8bfbf7b07ad4b6488fe1
North Cottesloe Surf Life Saving Club (Inc),"
            Registered          ","
            Large          ","
            Cottesloe          ","
            WA          ",86242133144,https://www.acnc.gov.au/charity/11fefa45c8c8b0dd4fa60eea18a446ed
North Entrance Surf Life Saving Club,"
            Registered          ","
            Medium          ","
            The Entrance North          ","
            NSW          ",47575008738,https://www.acnc.gov.au/charity/16753d65678f4555003dc9a3219bc891
North Kirra Surf Life Saving Club Incorporated,"
            Registered          ","
            Medium          ","
            Information Unavailable          ","
            Information Unavailable          ",33082071619,https://www.acnc.gov.au/charity/9d4471a87bb968a58248051a6a7af9b9
North Narrabeen Surf Life Saving Club Inc.,"
            Registered          ","
            Medium          ","
            Narrabeen          ","
            NSW          ",84987305207,https://www.acnc.gov.au/charity/99b97a268caafcd0f9e100446f707085
North Wollongong Surf Life Saving Club Inc,"
            Registered          ","
            Medium          ","
            North Wollongong          ","
            NSW          ",77519751596,https://www.acnc.gov.au/charity/d8aa9acd2439115a6d14601dce5b4cdd
Ocean Beach Surf Life Saving Club,"
            Registered          ","
            Medium          ","
            Umina Beach          ","
            NSW          ",27871986250,https://www.acnc.gov.au/charity/b3be3845255ff9aa3c0100f4ffed6723
Pacific Palms Surf Life Saving Club Incorporated,"
            Registered          ","
            Small          ","
            Information Unavailable          ","
            Information Unavailable          ",77297625761,https://www.acnc.gov.au/charity/d4186a863967e6dac29ddde1f1d80486
Pacific Surf Lifesaving Supporters Club Inc,"
            Voluntarily revoked          ","
            Information Unavailable          ","
            Information Unavailable          ","
            Information Unavailable          ",85440605689,https://www.acnc.gov.au/charity/86eb2ccfdb4cbb52b94eaa4162c081de
Palm Beach Surf Life Saving Club Inc.,"
            Registered          ","
            Medium          ","
            Palm Beach          ","
            QLD          ",81799531933,https://www.acnc.gov.au/charity/7d89933fa1dc31c4a64d5425d1b8c270
Peregian Beach Surf Lifesaving Club Inc,"
            Voluntarily revoked          ","
            Information Unavailable          ","
            Information Unavailable          ","
            Information Unavailable          ",94284901407,https://www.acnc.gov.au/charity/e77d50bb2febe22ff2d3ebef8f9c4e9c
Point Lonsdale Surf Life Saving Club Incorporated,"
            Registered          ","
            Large          ","
            Point Lonsdale          ","
            VIC          ",90650713800,https://www.acnc.gov.au/charity/05ebfe84b86227a63bc0cbb4583d116c
Port Douglas Surf Life Saving Club Inc,"
            Registered          ","
            Small          ","
            Port Douglas          ","
            QLD          ",75174041384,https://www.acnc.gov.au/charity/cfff7cf81eb14b2affe0fd102f390832
Port Kembla Surf Life Saving Club Incorporated,"
            Registered          ","
            Small          ","
            Warrawong          ","
            NSW          ",84563239680,https://www.acnc.gov.au/charity/cae6ff7ebebbc245974db8e80948ed46
Port Noarlunga Surf Life Saving Club Incorporated,"
            Registered          ","
            Medium          ","
            Port Noarlunga          ","
            SA          ",66020020713,https://www.acnc.gov.au/charity/b374d5c40751f765169a3007f81386bf
Port Walcott Surf Life Saving Club Inc.,"
            Registered          ","
            Small          ","
            Millars Well          ","
            WA          ",30683371418,https://www.acnc.gov.au/charity/8687e2727a4f1befbdab3f74e93bd455
